los	die
cáncer	krebserkrankungen
cáncer	krebs
métodos	methoden
delantero	stürmer
suroeste	südwest
suroeste	südwesten
indiana	indiana
puebla	puebla
trabaja	arbeitet
trabaja	arbeite
min	min
caballeros	ritter
minas	minen
minas	bergwerke
comportamiento	verhalten
sucedió	geschah
originales	originale
originales	ursprünglichen
originales	original
billboard	billboard
santander	santander
viento	windig
viento	wind
americana	amerikanerin
group	group
normas	normen
sectores	sektoren
cónyuge	gatte
cónyuge	ehepartner
cónyuge	ehegatten
cónyuge	ehegatte
espectadores	zuschauer
espectadores	zuschauern
salas	säle
peruano	peruanischen
liberación	befreiung
liberación	freilassung
liberación	freigabe
liberación	freisetzung
quería	wollte
atenas	athen
momentos	augenblicke
momentos	momente
momentos	momenten
fifa	fifa
aplicaciones	apps
aplicaciones	anwendungen
aplicaciones	gebrauch
air	air
georgia	georgien
hielo	eis
caballo	pferd
steve	steve
significado	bedeutung
cinturón	gürtel
cordillera	cordillera
crítico	kritiker
crítico	kritischen
crítico	kritisch
crítico	kritische
crítico	kritischer
sirvió	dienten
sirvió	diente
interpretado	interpretiert
mis	meine
motores	triebwerke
motores	motoren
posibles	mögliche
ganadores	sieger
ganadores	preisträger
ganadores	gewinner
pilotos	piloten
mike	mike
mike	mikes
foto	foto
wilson	wilsons
wilson	wilson
británicos	briten
británicos	britisch
joe	joe
sueño	schlaf
sueño	traum
guinea	guinea
guinea	guineas
informe	bericht
treinta	dreißig
cercano	nahes
tráfico	verkehr
órgano	orgel
órgano	organ
medallas	medaillen
archivos	akten
archivos	archiv
archivos	archive
archivos	dateien
fechas	termine
south	south
directores	direktoren
directores	regisseure
directores	schulleiter
físico	physiker
físico	physischen
físico	physisch
democracia	demokratie
mediterráneo	mittelmeer
mediterráneo	mittelmeerraum
opción	option
perdido	verloren
perdido	verlorenes
perdido	verlorene
notable	bemerkenswerter
notable	bemerkenswerte
notable	bemerkenswertes
notable	bemerkenswert
legal	legal
tercero	drittes
tercero	dritter
tercero	dritte
tercero	drittens
tercero	dritten
enorme	riesig
católicos	katholiken
escritura	schreiben
escritura	schrift
estadísticas	statistiken
estadísticas	statistik
documento	dokument
críticos	kritiker
iowa	iowa
cristiana	christin
ordenó	befahl
oscar	oscar
oscar	oscars
transmisión	übertragung
transmisión	übermittlung
carne	fleisch
poetas	dichter
poetas	poeten
ucrania	ukraine
desarrollar	entwickeln
ocurre	auftritt
enviado	eingereicht
enviado	gesandt
enviado	geschickt
enviado	gesendet
enviado	versandt
vehículo	fahrzeug
reparto	aufteilung
producida	produziert
producida	produzierte
círculo	kreis
harry	harrys
harry	harry
alimentos	lebensmittel
alimentos	nahrungsmittel
urbana	städtisch
casado	verheiratet
casado	geheiratet
abierta	offen
habitual	üblichen
agencia	agentur
popularidad	beliebtheit
popularidad	popularität
votar	abstimmen
pinturas	gemälde
pinturas	malereien
terminal	terminal
janeiro	janeiro
iniciativa	initiative
ffffff	ffffff
redes	netze
redes	netzwerke
estreno	premiere
aparte	auseinander
aparte	abgesehen
localización	lokalisierung
localización	standort
fortaleza	festung
deriva	abgeleitet
deriva	drift
deriva	abdriften
democrática	demokratische
democrática	demokratisch
marido	gemahl
electrónica	elektronische
electrónica	elektronik
electrónica	elektronisch
cristóbal	christoph
herrera	herrera
diccionario	wörterbuch
diccionario	wörterbücher
profesión	beruf
consulta	konsultation
consulta	abfrage
historiadores	historiker
mitología	mythologie
debate	debatte
perder	verlieren
dedicó	widmete
componentes	bestandteile
componentes	komponenten
componentes	bauteile
belleza	schönheit
descubre	entdecken
descubre	entdecke
jiménez	jiménez
personales	persönliche
ácido	säure
cumplir	erfüllen
infancia	kindheit
quedando	bleibend
predecesor	vorgänger
oscuro	dunkel
oscuro	dunkler
oscuro	dunkle
oscuro	dunkles
verdadero	reales
verdadero	wahren
verdadero	wahre
segundos	sekunden
margen	marge
margen	spanne
cañón	kanone
cañón	canyon
religioso	religiöse
religioso	religiösen
religioso	religiös
net	net
zamora	zamora
relativamente	relativ
relativamente	verhältnismäßig
columna	spalte
columna	säule
columna	kolonne
high	high
danza	tanz
veinte	zwanzig
desarrolla	entwickle
periodistas	journalisten
asunción	übernahme
fondos	fonds
factores	faktoren
barcos	boote
barcos	schiffe
salvo	außer
chica	mädchen
precio	preis
pensamiento	gedanken
pensamiento	gedanke
pensamiento	denken
leer	lesen
declaración	deklaration
declaración	aussage
declaración	erklärung
deportistas	sportlern
deportistas	sportler
mala	schlechte
asesinado	ermordet
argumento	argument
portal	portal
sacerdote	priester
sacerdote	geistlicher
night	night
buenas	guten
buenas	gute
cultivo	anbau
cultivo	kultivierung
nicaragua	nicaragua
regionales	regionalen
rodrigo	rodrigo
arzobispo	erzbischof
mancha	makel
mancha	fleck
retirado	pensioniert
retirado	zurückgezogen
inteligencia	intelligenz
envió	schickte
baile	tanz
fundamental	grundlegend
disney	disney
relevante	relevant
relevante	relevantes
fox	fox
serían	wären
establece	legt
paseo	fahrt
paseo	spaziergang
albert	albert
menciona	erwähnt
green	green
abandonó	verließ
brian	brian
romero	rosmarin
espera	warte
encargado	manager
encargado	betreuer
compañías	firmen
diseñado	entworfen
diseñado	designed
diseñado	konzipiert
reciente	kürzlich
intereses	zinsen
intereses	interessen
senado	senat
mercedes	mercedes
christian	christian
johnson	johnsons
johnson	johnson
edward	edward
esteban	esteban
videojuego	computerspiel
introduction	introduction
coros	chöre
vicepresidente	vizepräsident
plantillas	schablonen
plantillas	vorlagen
canarias	kanarischen
ave	ave
astronómicos	astronomischen
post	post
globo	globus
globo	ballon
orígenes	ursprünge
orígenes	ursprung
aliados	alliierten
aliados	verbündeten
aliados	alliierte
aliados	verbündete
rally	rally
rally	rallye
detalles	details
salto	sprung
salto	umbruch
state	state
marine	marine
bilbao	bilbao
rivera	rivera
roger	roger
colonial	colonial
colonial	koloniale
colonial	kolonialen
dictadura	diktatur
medina	medina
difusión	verbreitung
company	company
ejecución	ausführung
ejecución	vollstreckung
ensayo	prüfung
lucas	lucas
lucas	lukas
independientes	unabhängige
independientes	unabhängigen
independientes	unabhängig
joan	joan
boston	boston
reglas	regeln
viernes	freitag
viernes	freitags
suerte	glück
nobles	adlige
nobles	edle
nobles	edlen
augusto	augusto
radical	radikal
radical	radikalen
radical	radikales
radical	radikaler
radical	radikale
tratar	versuchen
yucatán	yucatan
yucatán	yucatán
establecido	etabliert
bruselas	brüssel
mandato	mandat
mandato	amtsperiode
mandato	amtszeit
trenes	züge
feria	messe
comida	essen
apellido	nachname
apellido	familienname
etapas	phasen
etapas	stadien
etapas	etappen
etapas	stufen
seguro	sicher
fotos	bilder
fotos	fotos
amistad	freundschaft
hill	hill
extranjeros	ausländische
extranjeros	ausländer
artillería	artillerie
concentración	konzentration
contar	zählen
abrió	öffnete
abrió	eröffnete
máquina	maschine
lagos	seen
hot	hot
hot	heiße
descriptiva	beschreibende
manual	manuell
manual	manuelle
coche	auto
bernardo	bernardo
brasileño	brasilianisch
brasileño	brasilianer
terrenos	grundstücke
miranda	miranda
ceremonia	zeremonie
columbia	columbia
lejos	weg
conflictos	konflikten
conflictos	konflikte
alicante	alicante
pregunta	frage
drama	drama
juez	richter
juez	richterin
patrón	muster
patrón	schiffsführer
requiere	erfordert
sons	sons
this	this
continental	kontinental
continental	continental
continental	kontinentales
continental	kontinentale
endémica	endemisch
taylor	taylor
sexo	geschlecht
sexo	sex
presentes	anwesenden
presentes	anwesende
miami	miami
celebración	feier
day	day
previamente	zuvor
previamente	vorher
mínimo	minimum
mínimo	minimal
mínimo	mindest
macdonald	macdonald
literaria	literarische
literaria	literarischen
milán	mailand
tomo	tome
tomo	nehme
descenso	rückgang
descenso	abstieg
descenso	absinken
viajes	reisen
bloqueo	sperrung
bloqueo	blockade
bloqueo	sperren
bloqueo	blockierung
bloqueo	sperre
empleados	beschäftigte
empleados	mitarbeiter
empleados	angestellte
poblado	bevölkert
batallas	schlachten
demanda	nachfrage
demanda	klage
agrupación	gruppieren
agrupación	gruppierung
fenómeno	phänomen
continuar	weitermachen
continuar	fortfahren
continuar	fortsetzen
continuar	weiter
paredes	wände
jurado	geschworenen
jurado	geschworene
jurado	jury
can	can
muñoz	muñoz
empleo	beschäftigung
empleo	erwerbstätigkeit
usos	verwendungen
confederación	eidgenossenschaft
confederación	konföderation
upper	upper
suárez	suárez
cabezas	köpfen
cabezas	köpfe
misuri	missouri
opera	opera
aniversario	jubiläum
aniversario	jahrestag
coleópteros	coleoptera
niña	mädchen
niña	kind
terremoto	erdbeben
casco	helm
casco	rumpf
factor	faktor
hollywood	hollywood
suma	summe
suma	summiert
oxford	oxford
deseo	wünschen
deseo	begehren
deseo	wünsche
deseo	wunsch
ejemplares	exemplare
gonzalo	gonzalo
ausencia	abwesenheit
lanza	startet
lanza	wirf
lanza	lanze
lanza	wirft
wheeler	wheeler
coalición	koalition
realización	verwirklichung
realización	realisierung
interna	intern
interna	interne
personalidad	persönlichkeit
personalidad	beschaffenheit
félix	felix
bill	bill
flor	blume
flor	blüte
marcó	markierte
jugando	spielend
celebró	feierte
alas	flügel
jardines	gärten
jardines	gartenanlagen
muro	pinnwand
muro	mauer
grados	grade
grados	besoldungsgruppen
grados	grad
santuario	heiligtum
santuario	schrein
destrucción	zerstörung
destrucción	vernichtung
empresario	geschäftsmann
empresario	unternehmer
empresario	arbeitgeber
entrenamiento	training
propietario	besitzer
propietario	inhaber
propietario	eigner
propietario	vermieter
propietario	eigentümer
intentó	versuchte
derrotó	besiegte
claramente	eindeutig
molina	molina
cañones	canyons
cañones	kanonen
marie	marie
pasos	schritten
pasos	schritte
descubrimiento	entdeckungen
descubrimiento	entdeckung
retirada	rücknahme
retirada	rückruf
retirada	rückzug
retirada	zurückziehen
ciclista	fahrradfahrer
catálogo	katalog
revisión	rezension
revisión	überprüfung
revisión	revision
tarea	hausaufgaben
tarea	aufgabe
extranjero	ausland
extranjero	ausländer
anna	anna
divisiones	geschäftsbereiche
divisiones	teilungen
divisiones	divisionen
divisiones	abteilungen
vieja	altes
vieja	alte
espectáculo	schauspiel
espectáculo	show
organismos	organismen
indios	inder
indios	indianer
journal	journal
irán	iran
grave	schwerwiegend
héctor	hektor
habana	havanna
punk	punk
caracteriza	charakterisiert
organismo	organismus
encuentros	treffen
encuentros	zusammenkünfte
encuentros	begegnungen
ford	fords
ford	ford
columnas	spalten
columnas	säulen
comunicaciones	kommunikation
comunicaciones	mitteilungen
latinoamérica	lateinamerika
elena	elena
productores	erzeuger
productores	produzenten
racing	racing
secciones	sektionen
secciones	abschnitte
tesis	these
tesis	dissertation
tesis	diplomarbeit
tesis	thesen
conexión	verbindung
conexión	anschluß
secretaría	geschäftsstelle
secretaría	kanzlei
secretaría	sekretariat
bautista	bautista
bautista	täufer
utilizó	nutzte
utilizó	verwendete
embajada	botschaft
invitado	eingeladen
invitado	gast
colón	colón
colón	kolumbus
best	best
tenis	tennis
individuos	einzelpersonen
individuos	individuen
publications	publications
finalizar	fertigstellen
exposiciones	ausstellungen
museos	museen
little	little
explica	erklärt
cambridge	cambridge
lectura	lesung
lectura	messwert
jornada	spieltag
extiende	erstreckt
wiley	wiley
hubiera	gäbe
colorado	colorado
transición	übergangs
transición	übergangsphase
transición	übergang
muere	stirbt
muere	stirb
consideran	erachten
alguno	einigem
llamadas	anrufe
llamadas	aufrufe
cristina	cristina
rutas	routen
presentar	präsentieren
presentar	einreichen
rival	rivalen
rival	rivale
norma	norma
norma	norm
posesión	besessenheit
posesión	besitz
estudiante	student
estudiante	kursteilnehmer
estudiante	studentin
taller	workshop
caminos	pfade
caminos	wege
alcance	reichweite
laura	laura
pdf	pdf
privado	privater
privado	privat
privado	privaten
privado	private
participado	teilgenommen
esfuerzo	aufwand
esfuerzo	anstrengungen
esfuerzo	bemühung
esfuerzo	anstrengung
piedras	steine
capa	schicht
capa	umhang
lateral	seitlich
lateral	seitlicher
lateral	seitliche
editores	redakteure
editores	verlage
editores	herausgeber
editores	verleger
daños	schäden
daños	beschädigung
daños	schaden
ernesto	ernesto
exclusivamente	ausschließlich
exclusivamente	ausschliesslich
magnitud	größenordnung
cueva	höhle
alternativa	alternative
alternativa	alternativ
discurso	ansprache
discurso	rede
activa	aktiviert
activa	aktiv
entidades	entitäten
tareas	aufgaben
moneda	währung
moneda	münze
relacionado	verwandt
relacionado	verwandte
aldea	dorf
aldea	weiler
soporte	support
soporte	unterstützung
gloria	ruhm
gloria	herrlichkeit
gloria	gloria
chico	junge
incluir	einschließen
prado	prado
prado	wiese
católico	katholik
católico	katholisch
católico	katholischen
incluía	beinhaltete
incluía	enthielt
editado	editiert
editado	edited
editado	herausgegeben
editado	bearbeitet
times	times
realizaron	durchführten
caballería	kavallerie
rebelión	revolte
rebelión	aufstand
rebelión	rebellion
definitivamente	definitiv
asistente	assistentin
asistente	assistent
asistente	assistenten
fallecido	verstorben
canadiense	kanadier
alex	alex
jacques	jacques
ritmo	tempo
ritmo	rhythmus
andes	anden
guionista	drehbuchautor
mallorca	mallorca
vocal	vokal
vocal	vocal
vocal	stimm
tío	onkel
senador	senator
organizado	organisiert
adultos	erwachsener
adultos	erwachsene
adultos	erwachsenen
piso	stock
carreteras	straßen
gobiernos	regierungen
special	special
quito	quito
cardenal	kardinal
hermandad	brüderschaft
hermandad	bruderschaft
hermandad	brüderlichkeit
hermandad	gilde
perro	hund
establecimiento	niederlassung
rápida	schnelle
rápida	schnell
capítulos	kapiteln
capítulos	kapitel
archipiélago	archipel
portuguesa	portugiesische
gregorio	gregorio
gregorio	gregor
listado	gelistet
tocar	anfassen
tocar	berühren
negros	neger
negros	schwarze
negros	schwarzen
asunto	betreff
ramas	zweige
ramas	äste
morir	sterben
insecto	insekt
insecto	wanze
cartagena	cartagena
autonomía	autonomie
autonomía	selbständigkeit
cocina	kochen
cocina	küche
cualquiera	irgendein
cualquiera	jeder
pesca	angeln
pesca	fischerei
pesca	fischen
sucesión	nachfolge
primo	cousin
primo	vetter
proteger	schützen
proteger	beschützen
pacientes	patientinnen
pacientes	patienten
finlandia	finnland
laterales	seitlichen
estrecho	eng
estrecho	engen
estrecho	schmal
papeles	papiere
determinar	bestimmen
telenovela	seifenoper
fabricación	fertigung
fabricación	herstellung
fabricación	herstellen
poema	gedicht
saludo	begrüßung
saludo	gruß
saludo	anrede
saludo	gruss
indonesia	indonesien
prentice	prentice
marino	marino
ramos	ramos
ray	ray
batallón	bataillon
pelea	kämpf
pelea	kämpft
pelea	kämpfe
dance	dance
gastronomía	gastronomie
académico	akademischer
académico	akademisch
académico	akademische
virus	virus
virus	viren
umbral	schwellenwert
umbral	schwelle
potencial	potential
potencial	potenzial
extra	extra
pilar	pfeiler
pilar	säule
moral	moralische
moral	moral
moral	moralisch
moral	moralischen
cierre	schließung
vargas	vargas
carl	carl
paisaje	landschaft
noble	noble
noble	edel
noble	edle
noble	nobel
aviación	luftfahrt
rendimiento	leistung
rendimiento	durchsatz
rendimiento	performance
actuó	handelte
escultor	bildhauer
pide	fordert
pide	bittet
pide	bestell
usada	benutzt
usada	verwendet
antigüedad	dienstalter
antigüedad	antike
antigüedad	altertum
penal	strafrecht
penal	strafrechtliche
penal	strafrechtlich
davis	davis
sam	sam
recuperar	abrufen
recuperar	zurückgewinnen
resumen	zusammenfassung
resumen	kurzfassung
medellín	medellín
medellín	medellin
serbia	serbien
shift	shift
arcos	bögen
integrado	integriert
integrado	integriertes
integrado	integrierten
integrado	integrierte
errores	fehler
errores	fehlern
raíces	wurzeln
responsabilidad	verantwortung
responsabilidad	haftung
responsabilidad	verantwortlichkeit
amenaza	drohung
amenaza	bedroht
amenaza	bedrohung
ojo	auge
cero	null
cero	nullpunkt
separación	abtrennung
separación	trennung
pasaron	vergingen
convención	konvent
convención	konvention
provocó	provozierte
teatral	theatralisch
habilidades	fertigkeiten
habilidades	fähigkeiten
bbc	bbc
pago	bezahlung
pago	auszahlung
pago	zahlung
tendencia	trend
tendencia	tendenz
animación	animation
animación	animieren
instalación	anlage
instalación	einbau
instalación	installation
instalación	installieren
marcas	markierungen
marcas	marken
vietnam	vietnam
índice	index
índice	stichwortverzeichnis
gana	gewinnt
cambia	ändere
cambia	ändert
hectáreas	hektar
terror	terror
terror	schrecken
saddle	saddle
explotación	betrieb
explotación	ausbeutung
explotación	ausnutzung
comparación	vergleich
habilidad	fähigkeit
habilidad	fertigkeit
habilidad	geschicklichkeit
define	definiere
define	definiert
define	define
tiro	schuß
tiro	schuss
navarro	navarro
solitario	einzelgänger
solitario	solitär
solitario	solitaire
solitario	einsam
wisconsin	wisconsin
dioses	götter
dioses	gottheiten
dioses	göttern
disposición	anordnung
dolor	schmerz
dolor	schmerzen
num	num
fácilmente	leicht
boys	boys
magdalena	magdalena
cadenas	ketten
cadenas	zeichenketten
cadenas	strings
comúnmente	geläufig
tasa	rate
tasa	gebühr
petición	anfrage
petición	gesuch
petición	petition
notables	bemerkenswerte
wiki	wiki
criterios	kriterien
out	out
hermanas	schwestern
interpretada	interpretiert
estadística	statistischen
herramientas	extras
herramientas	werkzeuge
simón	simon
blackwell	blackwell
subcampeón	vizemeister
gil	gil
escapar	fliehen
escapar	entkommen
escapar	entfliehen
espada	klinge
espada	schwert
will	will
sexto	sechsten
sexto	sechste
sexto	sechstes
sexto	sechster
matar	töten
ninguno	keiner
ninguno	keines
vertical	senkrecht
vertical	aufrecht
vertical	vertikale
vertical	vertikal
oficinas	büroräume
oficinas	büros
kong	kong
disciplina	disziplin
disciplina	diszipliniert
cech	cech
who	who
gigante	riese
cristiano	christlich
cristiano	christliche
revolucionario	revolutionären
revolucionario	revolutionär
revolucionario	revolutionäre
revolucionario	revolutionäres
obispos	bischöfe
derrotado	besiegte
derrotado	besiegt
participaciones	beteiligungen
candidatura	kandidatur
arthur	arthur
ortiz	ortiz
cuadros	abbildungen
vegetación	vegetation
voluntad	willen
voluntad	wille
necesidades	notwendigkeiten
necesidades	bedürfnisse
necesidades	bedarf
eliminar	entfernen
vandalismo	vandalismus
france	france
karl	karl
cayó	fiel
cayó	stürzte
clasificado	klassifiziert
clasificado	eingestuft
clasificado	einreihen
ven	komm
maestros	meistern
mención	erwähnung
escribe	schreibt
escribe	schreibe
escribe	schreib
esfuerzos	anstrengungen
esfuerzos	mühen
esfuerzos	bemühungen
doña	dona
actuar	handeln
producciones	produktionen
necesita	benötigt
necesita	braucht
andrea	andrea
gris	grauen
gris	graue
gris	grau
gris	grauer
gris	graues
periódicos	zeitungen
periódicos	tageszeitungen
oviedo	oviedo
lewis	lewis
margarita	margarita
adicional	zusätzliche
brigada	brigade
claudio	claudius
claudio	claudio
graves	schwerwiegend
graves	graves
graves	schwerwiegende
graves	schwere
graves	schweren
béisbol	baseball
redacción	formulierung
redacción	abfassung
redacción	redaktion
junior	junior
tomando	nehmend
depende	abhängig
depende	hängt
combinación	kombination
aventuras	abenteuer
combustible	treibstoff
combustible	brennstoff
combustible	kraftstoff
eric	eric
inaugurado	eröffnet
inaugurado	eingeweiht
embajador	botschafter
entender	verstehen
compra	einkauf
compra	kauf
desierto	wüste
lisboa	lissabon
juana	johanna
juana	juana
juana	jeanne
agentes	agenten
creador	erschaffer
creador	schöpfer
creador	ersteller
productora	produzentin
productora	produktionsfirma
power	power
venecia	venedig
ensayos	prüfungen
barroco	barock
barroco	barocken
rev	rev
alba	alba
ingenieros	ingenieure
insectos	wanzen
insectos	insekten
pistas	pisten
pistas	spuren
trinidad	trinidad
mamíferos	säugetieren
mamíferos	säugetiere
cinta	band
cinta	kassette
viajó	reiste
retrato	portrait
retrato	porträt
calor	wärme
calor	hitze
cercanías	pendler
stone	stone
are	bist
colonias	kolonien
goya	goya
mejora	aufsteigen
mejora	verbessert
mejora	verbesserung
flandes	flandern
republicano	republikaner
republicano	republikanischen
republicano	republikanische
lord	lord
twitter	twitter
acompañado	begleitet
talleres	workshops
jim	jim
jim	jims
peor	schlimmer
peor	schlimmsten
peor	schlechter
bottom	bottom
anillo	ring
blues	blues
parejas	paare
parejas	ehepaare
basílica	basilika
nieto	enkelkind
nieto	enkel
verdadera	wahre
hans	hans
terrestre	terrestrischen
elenco	darsteller
estrategia	strategie
causas	gründe
causas	ursachen
virtual	virtuellen
virtual	virtuell
virtual	virtueller
virtual	virtuelle
virtual	virtuelles
integración	eingliederung
integración	integration
integración	einbindung
temporal	vorübergehend
temporal	vorübergehende
temporal	temporär
contenidos	inhalt
contenidos	inhalte
clausura	stilllegung
clausura	schließung
tenerife	teneriffa
útil	nützliches
útil	nützlich
útil	hilfreich
lunes	montag
lunes	montags
grammy	grammy
minuto	minute
estilos	stile
probable	wahrscheinlichen
probable	wahrscheinliche
estatua	statue
supremo	obersten
supremo	oberster
supremo	oberstes
equivalente	äquivalent
equivalente	gleichwertiges
equivalente	gleichwertig
equivalente	gleichwertige
campus	campus
volúmenes	volumina
volúmenes	bände
volúmenes	volumes
tomado	genommen
estancia	aufenthalt
jan	jan
anexos	anhänge
matemáticas	mathematik
descendientes	nachkommen
descendientes	nachfahren
caballos	pferde
caballos	pferden
verdes	grünen
verdes	grüne
boy	boy
back	back
retablo	tableau
lara	lara
hidalgo	hidalgo
marruecos	marokko
amiga	freundin
hola	hallo
gales	wales
defensor	verteidiger
tokio	tokio
sir	sir
sir	crs
quedaron	blieben
euros	euro
ciclismo	radsport
controlar	kontrollieren
alpes	alpen
benito	benito
copas	gläser
semillas	saatgut
semillas	saat
semillas	samen
subfamilia	unterfamilie
pierde	verliert
pasión	leidenschaft
pasión	passion
home	home
variante	variante
variante	baureihe
acero	stahl
héroe	held
collette	collette
malden	malden
aumentar	erhöhen
patria	vaterland
patria	heimat
prisioneros	gefangene
prisioneros	gefangenen
prisioneros	häftlinge
actitud	haltung
borde	rand
borde	umrandung
bibliotecario	bibliothekar
pre	pre
mecánica	mechanisch
mecánica	mechanik
mecánica	mechanische
est	est
moda	mode
recuperación	erholung
recuperación	wiederaufnahme
recuperación	wiederherstellung
recuperación	genesung
recuperación	rückforderung
otoño	herbst
lanzada	geworfen
rebotes	rebounds
tienda	geschäft
temperaturas	temperaturen
campañas	kampagnen
nintendo	nintendo
vera	vera
reducir	verkleinern
reducir	verringern
reducir	reduzieren
descubrió	entdeckte
long	long
cárcel	knast
cárcel	gefängnis
cuento	zähle
otorgado	gewährt
otorgado	verliehen
imposible	unmöglich
mencionado	erwähnt
prácticas	praktikum
prácticas	praktiken
prácticas	praktika
draft	draft
audio	audio
hong	hong
crónica	chronik
crónica	chronisch
crónica	chronische
garden	garden
toro	stier
solista	solist
reducción	verringerung
reducción	reduktion
reducción	reduzierung
reducción	verkleinerung
tribu	stamm
registros	registrierungen
fotografías	fotografien
nuestros	unsere
asumió	übernahm
congo	kongo
presidentes	vorsitzende
presidentes	präsidenten
presidentes	vorsitzenden
kim	kims
kim	kim
jurisdicción	jurisdiktion
jurisdicción	gerichtsbarkeit
jurisdicción	zuständigkeit
jurisdicción	gerichtsstand
candidatos	kandidaten
candidatos	bewerber
dibujos	zeichnungen
escritora	autorin
escritora	schriftstellerin
checa	tschechischen
mérida	mérida
departamentos	abteilungen
departamentos	departements
bibliografía	bibliographie
bibliografía	literaturverzeichnis
bibliografía	bibliografie
ejercicio	übung
ejercicio	ausübung
rioja	rioja
apariencia	erscheinung
apariencia	aussehen
apariencia	erscheinungsbild
oferta	angebot
variedades	sorten
ventaja	vorteil
ventaja	vorsprung
revela	enthüllt
revela	offenbart
peruana	peruanische
peruana	peruanischen
remix	remix
literario	literarischer
libertadores	befreier
humor	stimmung
humor	humor
influencias	einflüsse
influencias	einflüssen
bomba	bombe
bomba	pumpe
sujeto	testperson
sujeto	subjekt
delante	vorne
mostrar	zeigen
mostrar	einblenden
mostrar	zeige
mostrar	anzeigen
françois	francois
françois	françois
cien	einhundert
cien	hundert
arquitectos	architekten
ganadora	siegerin
ganadora	gewinnerin
arkansas	arkansas
mostró	zeigte
cooperación	mitarbeit
cooperación	zusammenarbeit
cooperación	kooperation
editar	editieren
editar	bearbeiten
alan	alan
monedas	münzen
monedas	währungen
orientación	ausrichtung
orientación	orientierung
preparación	vorbereitungen
preparación	vorbereiten
preparación	vorbereitung
victor	victor
integrada	integriertes
integrada	integrierte
mérito	verdienst
consenso	konsens
jerusalén	jerusalem
himno	hymne
cristal	glas
cristal	kristall
bella	bella
destacó	betonte
visual	visuelle
visual	visuell
bloque	block
presupuesto	haushalt
presupuesto	kostenvoranschlag
presupuesto	haushaltsmittel
presupuesto	budget
presupuesto	haushaltsplan
desconocido	unbekanntes
desconocido	unbekannter
desconocido	unbekannte
desconocido	unbekannt
ligas	ligen
almirante	admiral
eléctrico	elektrisch
calendario	zeitplan
calendario	kalender
siria	syrien
play	play
pensar	denken
pensar	nachdenken
empate	unentschieden
empate	gleichstand
tono	farbton
tono	tonhöhe
tono	klingelton
adn	dna
representado	dargestellt
representado	vertreten
representado	repräsentiert
confianza	vertrauen
confianza	zuversicht
colecciones	ansammlungen
colecciones	kollektionen
colecciones	sammlungen
exilio	exil
funciona	funktioniert
dejado	gelassen
not	not
excelente	ausgezeichnet
excelente	exzellent
excelente	ausgezeichnete
excelente	hervorragend
veracruz	veracruz
ido	gegangen
uruguayo	uruguayo
publicidad	werben
publicidad	werbung
inauguración	eröffnung
inauguración	einweihung
polaco	polnisch
polaco	polnischen
polaco	polnische
hipótesis	hypothese
hipótesis	hypothesen
hipótesis	annahmen
hipótesis	annahme
atacar	angreifen
parques	parks
centrales	zentralen
progreso	fortschritte
progreso	fortschritt
nosotros	uns
nosotros	wir
ávila	ávila
selva	dschungel
selva	urwald
ibérica	iberischen
florencia	florenz
elegir	wählen
tripulación	besatzung
tripulación	mannschaft
tripulación	crew
defender	verteidigen
defender	defender
marcelo	marcelo
marcelo	marcellus
secuencia	sequenz
secuencia	reihenfolge
michel	michel
intentar	versuchen
millas	meilen
situaciones	situationen
permitir	erlauben
permitir	zulassen
permitir	ermöglichen
genérico	generika
genérico	generisches
genérico	generisch
samuel	samuel
modernos	modernen
porcentaje	anteil
porcentaje	prozentsatz
porcentaje	prozent
mata	tötet
mata	töte
uniforme	einheitlich
uniforme	gleichmäßig
uniforme	uniform
satélite	satellit
satélite	satelliten
aventura	abenteuer
brazo	arm
sal	salz
body	body
borrar	löschen
borrar	löscht
observar	beobachten
aceite	öl
playstation	playstation
giovanni	giovanni
jaén	jaén
eliminado	entfernt
eliminado	gelöscht
eliminado	eliminiert
eliminado	gestrichen
microsoft	microsoft
microsoft	mikroskop
ariel	ariel
regla	lineal
regla	regel
douglas	douglas
tumba	grab
tumba	grabe
tumba	grabmal
empleado	angestellter
empleado	beschäftigt
empleado	mitarbeiter
cuidado	vorsicht
cuidado	obacht
belgrano	belgrano
bulgaria	bulgarien
sun	sun
alias	alias
alias	aka
kevin	kevin
venezolano	venezolanischen
ideal	ideal
ideal	ideale
alrededores	umlagerungen
alrededores	umgebung
mecanismo	mechanismus
wrestling	wrestling
atp	atp
rocas	felsen
renacimiento	renaissance
renacimiento	wiedergeburt
dama	dame
dificultades	schwierigkeiten
daño	schaden
seguidores	follower
seguidores	anhänger
argumentos	argumente
mauricio	mauritius
inversión	investition
asociaciones	assoziationen
asociaciones	verbände
asociaciones	vereine
asociaciones	partnerschaften
andré	andré
flujo	strömung
eva	eva
conceptos	konzepte
conceptos	begriffe
surgió	entstand
east	east
placa	platte
placa	plakette
mtv	mtv
duró	währte
duró	dauerte
rosas	rosen
logrado	gelungen
logrado	erreicht
logrado	geschafft
psicología	psychologie
criterio	kriterium
hoja	blatt
hoja	klinge
cuadrados	quadrate
rose	rose
grabar	aufnehmen
grabar	brennen
grabar	aufzeichnen
sexta	sechsten
sexta	sechste
blog	blog
relato	erzählung
interesante	interessanter
interesante	interessante
interesante	interessantes
interesante	interessant
abc	abc
reformas	renovierungen
